Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,56,49,0.001,0.96,0.17,4.359,0.002,0.444,0.027,6.036
0,56,56,0.103,1.51,0.016,0.29,0.067,0.86,0.026,0.394
0,56,63,0.051,2.483,0.128,0.598,0.036,4.739,0.001,0.837
0,56,70,0.098,0.583,0.056,1.658,0.071,4.795,0.011,1.309
0,56,77,0.002,0.329,0.002,0.192,0.036,1.732,0.013,5.441
0,56,84,0.139,0.176,0.001,4.687,0.0,0.419,0.021,0.427
0,56,91,0.001,0.73,0.069,3.077,0.07,6.786,0.039,7.176
0,56,98,0.001,5.15,0.001,2.306,0.04,1.139,0.008,4.711
0,56,105,0.001,1.548,0.033,2.132,0.001,0.551,0.002,0.766
0,56,112,0.001,6.163,0.001,6.685,0.035,1.957,0.012,5.404
0,56,119,0.277,3.813,0.002,0.748,0.074,0.517,0.019,4.17
0,56,126,0.006,1.537,0.002,2.463,0.027,1.486,0.019,0.408
0,56,133,0.167,6.545,0.002,1.572,0.001,4.618,0.001,5.623
0,56,140,0.002,1.913,0.001,5.297,0.05,4.815,0.002,8.054
0,56,147,0.007,3.676,0.002,0.691,0.001,0.603,0.001,0.227
0,56,154,0.082,7.262,0.001,0.597,0.034,4.145,0.037,0.668
0,56,161,0.061,1.47,0.062,2.243,0.025,1.188,0.02,1.092
0,56,168,0.053,2.24,0.001,0.095,0.0,0.84,0.026,3.637
0,56,175,0.002,5.154,0.019,1.472,0.102,0.625,0.027,1.34
0,63,0,0.137,0.499,0.001,0.119,0.001,1.632,0.001,4.146
0,63,7,0.186,6.005,0.18,9.06,0.151,1.826,0.198,3.677
0,63,14,0.416,5.755,0.001,1.957,0.203,0.752,0.087,1.362
0,63,21,0.002,7.205,0.001,9.713,0.0,1.408,0.066,4.31
0,63,28,0.051,0.742,0.002,5.523,0.001,4.887,0.077,2.01
0,63,35,0.003,2.306,0.002,1.92,0.152,0.984,0.067,4.648
0,63,42,0.001,8.551,0.142,0.434,0.194,4.253,0.001,0.928
0,63,49,0.008,1.778,0.001,4.082,0.219,5.711,0.001,5.523
0,63,56,0.192,0.718,0.002,5.799,0.003,0.067,0.159,3.964
0,63,63,0.006,0.507,0.001,5.949,0.004,0.295,0.002,5.688
0,63,70,0.002,4.516,0.001,1.604,0.002,4.473,0.001,1.391
0,63,77,0.001,3.609,0.001,0.589,0.001,1.557,0.054,6.015
0,63,84,0.002,3.376,0.029,5.689,0.0,7.249,0.081,0.812
0,63,91,0.122,6.316,0.001,5.658,0.076,4.045,0.001,0.228
0,63,98,0.006,3.595,0.194,2.568,0.079,0.079,0.001,4.096
0,63,105,0.002,1.896,0.001,5.654,0.002,4.492,0.001,0.58
0,63,112,0.001,2.233,0.001,8.818,0.001,3.353,0.071,2.838
0,63,119,0.001,1.617,0.002,2.769,0.003,4.129,0.001,0.497
0,63,126,0.001,0.919,0.149,2.188,0.001,2.713,0.155,6.99
0,63,133,0.002,1.513,0.002,6.657,0.001,0.227,0.001,1.011
