Euler1,Euler2,Euler3,azimuth360,azimuth270,azimuth180,azimuth90
7,70,63,0.002,0.004,0.004,0.009
7,70,70,0.003,0.003,0.002,0.005
7,70,77,0.001,0.001,0.001,0.009
7,70,84,0.004,0.007,0.002,0.01
7,70,91,0.003,0.002,0.002,0.005
7,70,98,0.001,0.003,0.003,0.007
7,70,105,0.001,0.002,0.001,0.004
7,70,112,0.001,0.004,0.003,0.005
7,70,119,0.002,0.002,0.002,0.005
7,70,126,0.001,0.002,0.002,0.001
7,70,133,0.004,0.001,0.002,0.001
7,70,140,0.005,0.003,0.003,0.005
7,70,147,0.002,0.005,0.002,0.002
7,70,154,0.001,0.001,0.001,0.004
7,70,161,0.001,0.001,0.001,0.005
7,70,168,0.001,0.003,0.001,0.01
7,70,175,0.003,0.001,0.003,0.003
7,77,0,0.001,0.003,0.001,0.007
7,77,7,0.002,0.012,0.002,0.014
7,77,14,0.001,0.002,0.001,0.015
