Euler1,Euler2,Euler3,default10,default15,default20,default25,default30
0,70,147,0.0,0.001,0.001,0.001,0.001
0,70,154,0.165,0.171,0.001,0.003,0.003
0,70,161,0.002,0.01,0.002,0.185,0.001
0,70,168,0.003,0.001,0.001,0.001,0.001
0,70,175,0.001,0.088,0.181,0.001,0.0
0,77,0,0.0,0.001,0.248,0.001,0.152
0,77,7,2.728,0.271,0.256,0.268,0.284
0,77,14,0.001,0.181,0.123,0.265,0.286
0,77,21,0.252,0.277,0.134,0.289,0.212
0,77,28,0.275,0.035,0.222,0.26,0.291
0,77,35,0.263,0.004,0.281,0.25,0.253
0,77,42,0.002,0.001,0.002,0.287,0.251
0,77,49,0.227,0.283,0.284,0.265,0.241
0,77,56,0.28,0.319,0.233,0.23,0.243
0,77,63,0.002,0.278,0.002,0.18,0.286
0,77,70,0.298,0.013,0.267,0.294,0.0
0,77,77,0.299,0.309,0.29,0.286,0.275
0,77,84,0.207,0.273,0.261,0.264,0.275
0,77,91,0.002,0.314,0.283,0.255,0.287
0,77,98,0.003,0.254,0.173,0.27,0.169
0,77,105,0.278,0.271,0.29,0.226,0.266
0,77,112,0.261,0.0,0.243,0.264,0.301
0,77,119,0.006,0.273,0.276,0.249,0.287
0,77,126,0.27,0.294,0.286,0.279,0.29
0,77,133,0.233,0.26,0.255,0.254,0.198
0,77,140,0.324,0.003,0.286,0.292,0.291
0,77,147,0.328,0.312,0.335,0.32,0.25
0,77,154,0.318,0.009,0.252,0.224,0.239
0,77,161,0.269,0.304,0.315,0.356,0.302
0,77,168,0.24,0.108,0.342,0.342,0.315
0,77,175,0.35,0.286,0.157,0.252,0.266
0,84,0,0.258,0.334,0.005,0.011,0.299
0,84,7,0.314,0.32,0.373,0.329,0.297
0,84,14,0.388,0.404,0.336,0.322,0.362
0,84,21,0.019,0.314,0.342,0.314,0.004
0,84,28,0.329,0.01,0.3,0.303,0.361
0,84,35,0.358,0.312,0.402,0.319,0.325
0,84,42,0.005,0.369,0.353,0.347,0.373
0,84,49,0.195,0.342,0.002,0.315,0.336
0,84,56,0.183,0.276,0.304,0.292,0.294
0,84,63,0.342,0.351,0.325,0.352,0.342
0,84,70,0.2,0.315,0.333,0.305,0.324
0,84,77,0.357,0.31,0.325,0.32,0.333
0,84,84,0.34,0.283,0.294,0.349,0.344
0,84,91,0.371,0.318,0.167,0.301,0.277
0,84,98,0.169,0.325,0.339,0.327,0.307
0,84,105,0.293,0.329,0.32,0.302,0.314
0,84,112,0.004,0.342,0.258,0.29,0.311
0,84,119,0.311,0.0,0.34,0.277,0.31
0,84,126,0.264,0.305,0.298,0.31,0.331
0,84,133,0.312,0.344,0.055,0.362,0.354
0,84,140,0.317,0.288,0.33,0.304,0.293
0,84,147,0.44,0.312,0.335,0.343,0.318
0,84,154,0.001,0.328,0.322,0.001,0.321
0,84,161,0.324,0.236,0.335,0.321,0.305
0,84,168,0.34,0.315,0.363,0.296,0.319
0,84,175,0.428,0.343,0.322,0.336,0.234
7,0,0,0.0,0.0,0.229,0.0,0.0
7,0,7,0.0,0.0,0.0,0.26,0.247
7,0,14,0.361,0.0,0.0,0.0,0.0
7,0,21,0.0,0.321,0.0,0.0,0.311
7,0,28,0.0,0.0,0.275,0.0,0.248
7,0,35,0.249,0.0,0.23,0.332,0.0
7,0,42,0.207,0.232,0.268,0.0,0.244
7,0,49,0.311,0.311,0.302,0.174,0.147
7,0,56,0.285,0.282,0.0,0.0,0.235
7,0,63,0.23,0.0,0.296,0.326,0.267
7,0,70,0.0,0.254,0.0,0.0,0.0
7,0,77,0.0,0.17,0.0,0.281,0.0
7,0,84,0.0,0.244,0.0,0.166,0.251
7,0,91,0.289,0.249,0.0,0.0,0.286
7,0,98,0.0,0.0,0.0,0.28,0.254
7,0,105,0.32,0.0,0.0,0.0,0.0
7,0,112,0.31,0.0,0.0,0.266,0.216
7,0,119,0.0,0.0,0.0,0.197,0.24
7,0,126,0.329,0.0,0.0,0.0,0.282
7,0,133,0.315,0.294,0.113,0.0,0.0
7,0,140,0.0,0.309,0.0,0.0,0.0
7,0,147,0.0,0.237,0.0,0.0,0.262
7,0,154,0.318,0.0,0.0,0.278,0.238
7,0,161,0.323,0.0,0.335,0.0,0.0
7,0,168,0.314,0.0,0.0,0.0,0.164
7,0,175,0.0,0.0,0.0,0.0,0.16
7,7,0,0.003,0.004,0.009,0.001,0.004
7,7,7,0.889,0.089,0.741,0.149,0.004
7,7,14,0.179,0.65,0.041,0.133,0.296
7,7,21,0.714,0.307,0.804,0.047,0.012
7,7,28,0.148,0.003,0.052,0.019,0.008
7,7,35,0.573,0.852,0.003,0.018,0.003
7,7,42,0.551,0.113,0.027,0.105,0.013
7,7,49,0.005,0.103,0.007,0.006,0.114
7,7,56,0.847,0.084,0.049,0.852,0.018
7,7,63,0.852,0.044,0.007,0.08,0.006
7,7,70,0.421,0.021,0.008,0.058,0.001
7,7,77,0.067,0.041,0.985,0.262,0.04
7,7,84,0.059,0.009,0.029,0.002,0.013
7,7,91,0.042,0.014,0.057,1.513,0.031
7,7,98,0.03,0.17,0.031,0.008,0.678
7,7,105,0.013,0.007,0.028,0.004,0.058
7,7,112,0.105,0.008,0.054,0.006,0.005
7,7,119,2.512,0.002,0.009,0.032,0.011
7,7,126,0.158,0.036,0.147,0.003,0.004
7,7,133,0.735,0.076,0.013,0.006,0.004
7,7,140,0.007,0.303,0.014,0.311,0.009
7,7,147,0.786,0.005,0.003,0.852,0.008
7,7,154,0.016,0.004,0.015,0.026,0.001
7,7,161,0.026,0.025,0.106,0.109,0.561
7,7,168,0.637,0.014,0.003,0.02,0.119
7,7,175,2.089,0.611,0.004,0.008,0.005
7,14,0,0.001,0.002,0.002,0.002,0.002
7,14,7,0.263,0.555,0.343,0.168,0.004
7,14,14,1.698,0.509,0.019,0.001,0.003
7,14,21,0.039,0.078,0.045,0.037,0.053
7,14,28,0.003,0.004,0.093,0.001,0.009
7,14,35,0.003,0.003,0.037,0.005,0.001
7,14,42,0.005,0.003,0.007,0.004,0.005
7,14,49,0.001,0.002,0.002,0.002,0.001
7,14,56,0.001,0.003,0.002,0.002,0.001
7,14,63,0.02,0.05,0.002,0.001,0.003
7,14,70,0.049,0.049,0.056,0.049,0.055
7,14,77,0.0,0.014,0.019,0.001,0.001
7,14,84,0.009,0.009,0.007,0.004,0.005
7,14,91,0.002,0.004,0.003,0.001,0.003
7,14,98,0.002,0.001,0.001,0.001,0.001
7,14,105,0.001,0.002,0.009,0.001,0.004
7,14,112,0.038,0.057,0.051,0.028,0.006
7,14,119,0.003,0.371,0.001,0.003,0.001
7,14,126,0.007,0.002,0.002,0.002,0.003
7,14,133,0.004,0.006,0.004,0.002,0.005
7,14,140,0.003,0.001,0.004,0.003,0.004
7,14,147,0.002,0.003,0.002,0.002,0.002
7,14,154,0.002,0.009,0.015,0.007,0.006
7,14,161,0.022,0.018,0.001,0.019,0.006
7,14,168,0.002,0.002,0.002,0.002,0.002
7,14,175,0.01,0.007,0.012,0.004,0.004
7,21,0,0.004,0.019,0.001,0.001,0.001
7,21,7,0.002,0.076,0.004,0.019,0.001
7,21,14,2.525,2.529,0.001,0.001,0.001
7,21,21,0.026,0.019,0.02,0.02,0.02
7,21,28,0.0,0.004,0.002,0.0,0.006
7,21,35,0.011,0.002,0.001,0.002,0.002
7,21,42,0.019,0.02,0.02,0.019,0.022
7,21,49,0.01,0.002,0.008,0.009,0.002
7,21,56,0.005,0.001,0.001,0.001,0.002
7,21,63,0.001,0.001,0.001,0.001,0.001
7,21,70,0.036,0.033,0.033,0.032,0.034
7,21,77,0.012,0.003,0.003,0.001,0.003
7,21,84,0.057,0.046,0.056,0.053,0.082
7,21,91,0.028,0.017,0.041,0.02,0.027
7,21,98,0.034,0.047,0.041,0.042,0.041
7,21,105,0.0,0.001,0.001,0.001,0.001
7,21,112,1.317,0.021,0.018,0.025,0.009
7,21,119,0.003,0.002,0.001,0.005,0.004
7,21,126,0.001,0.001,0.002,0.001,0.001
7,21,133,0.001,0.002,0.001,0.001,0.001
7,21,140,0.046,0.043,0.045,0.043,0.045
7,21,147,0.032,0.03,0.045,0.029,0.029
7,21,154,0.004,0.001,0.002,0.002,0.001
7,21,161,0.025,0.036,0.037,0.039,0.036
7,21,168,0.008,0.004,0.009,0.004,0.003
7,21,175,0.02,0.025,0.01,0.022,0.013
7,28,0,0.001,0.001,0.001,0.001,0.001
7,28,7,0.011,0.01,0.013,0.004,0.005
7,28,14,7.517,0.02,0.032,0.046,0.036
7,28,21,0.002,0.003,0.003,0.005,0.001
7,28,28,0.04,0.035,0.032,0.032,0.033
7,28,35,0.004,0.001,0.0,0.0,0.0
7,28,42,0.001,0.006,0.002,0.008,0.004
7,28,49,0.001,0.018,0.001,0.001,0.008
7,28,56,0.028,0.027,0.027,0.034,0.031
7,28,63,0.003,0.001,0.001,0.001,0.001
7,28,70,0.017,0.032,0.033,0.037,0.037
7,28,77,0.004,0.007,0.009,0.003,0.005
7,28,84,0.001,0.001,0.001,0.001,0.001
7,28,91,0.041,0.038,0.039,0.043,0.037
7,28,98,0.028,0.029,0.022,0.024,0.025
7,28,105,0.036,0.048,0.047,0.044,0.044
7,28,112,0.019,0.033,0.029,0.032,0.032
7,28,119,0.031,0.03,0.029,0.029,0.032
7,28,126,0.001,0.011,0.0,0.004,0.007
7,28,133,0.024,0.01,0.019,0.02,0.018
7,28,140,0.012,0.01,0.002,0.009,0.003
7,28,147,0.004,0.005,0.016,0.012,0.001
7,28,154,0.03,0.029,0.026,0.029,0.028
7,28,161,0.027,0.005,0.03,0.037,0.029
7,28,168,0.011,0.01,0.008,0.009,0.008
7,28,175,0.002,0.003,0.009,0.005,0.002
7,35,0,0.005,0.009,0.024,0.001,0.002
7,35,7,1.493,0.027,0.028,0.022,0.025
7,35,14,0.009,0.011,0.012,0.016,0.014
7,35,21,0.025,0.027,0.025,0.026,0.027
7,35,28,0.009,0.007,0.006,0.006,0.005
7,35,35,0.001,0.001,0.001,0.001,0.001
7,35,42,0.012,0.012,0.011,0.011,0.011
7,35,49,0.009,0.011,0.005,0.011,0.009
7,35,56,0.019,0.024,0.026,0.022,0.025
7,35,63,0.0,0.004,0.002,0.002,0.004
7,35,70,0.016,0.018,0.018,0.02,0.018
7,35,77,0.005,0.011,0.013,0.012,0.016
7,35,84,0.001,0.003,0.001,0.001,0.001
7,35,91,0.024,0.022,0.022,0.022,0.022
7,35,98,0.014,0.015,0.014,0.014,0.015
7,35,105,0.016,0.014,0.015,0.015,0.015
7,35,112,0.01,0.016,0.018,0.006,0.008
7,35,119,0.006,0.004,0.005,0.005,0.005
7,35,126,0.014,0.015,0.015,0.013,0.015
7,35,133,0.02,0.02,0.019,0.019,0.02
7,35,140,0.011,0.016,0.015,0.015,0.015
7,35,147,0.001,0.002,0.001,0.001,0.001
7,35,154,0.006,0.007,0.007,0.007,0.007
7,35,161,0.013,0.006,0.008,0.011,0.008
7,35,168,0.003,0.001,0.001,0.001,0.001
7,35,175,0.004,0.004,0.008,0.006,0.009
7,42,0,0.001,0.001,0.001,0.001,0.003
7,42,7,0.011,0.011,0.01,0.015,0.017
7,42,14,0.011,0.001,0.006,0.005,0.003
7,42,21,0.016,0.014,0.015,0.017,0.017
7,42,28,0.008,0.008,0.013,0.008,0.005
7,42,35,0.011,0.011,0.017,0.015,0.015
7,42,42,0.008,0.009,0.009,0.009,0.01
7,42,49,0.02,0.022,0.026,0.02,0.028
7,42,56,0.011,0.001,0.002,0.001,0.003
7,42,63,0.008,0.009,0.001,0.008,0.009
7,42,70,0.017,0.019,0.018,0.018,0.02
7,42,77,0.003,0.002,0.003,0.001,0.002
7,42,84,0.01,0.009,0.01,0.01,0.011
7,42,91,0.007,0.007,0.008,0.008,0.009
7,42,98,0.0,0.001,0.001,0.0,0.0
7,42,105,0.009,0.009,0.008,0.009,0.008
7,42,112,0.013,0.015,0.013,0.013,0.013
7,42,119,0.005,0.006,0.011,0.008,0.01
7,42,126,0.011,0.014,0.016,0.015,0.015
7,42,133,0.014,0.015,0.013,0.013,0.013
7,42,140,0.01,0.02,0.013,0.012,0.019
7,42,147,0.01,0.01,0.014,0.01,0.01
7,42,154,0.014,0.013,0.013,0.015,0.014
7,42,161,0.007,0.006,0.007,0.006,0.007
7,42,168,0.014,0.013,0.012,0.014,0.013
7,42,175,0.0,0.001,0.0,0.001,0.0
7,49,0,0.0,0.007,0.007,0.003,0.006
7,49,7,0.008,0.005,0.002,0.007,0.007
7,49,14,0.004,0.004,0.006,0.005,0.005
7,49,21,0.012,0.014,0.012,0.007,0.006
7,49,28,0.006,0.008,0.004,0.011,0.007
7,49,35,0.009,0.009,0.01,0.009,0.01
7,49,42,0.008,0.011,0.01,0.007,0.006
7,49,49,0.006,0.006,0.005,0.007,0.007
7,49,56,0.01,0.01,0.01,0.012,0.012
7,49,63,0.005,0.006,0.004,0.005,0.005
7,49,70,0.016,0.015,0.011,0.015,0.014
7,49,77,0.002,0.002,0.001,0.002,0.002
